id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
869689049669594794,Ipanema,Casa/Apto Inteiro,4,2.0,1200.0,Médio-Alto,-22.9854206,-43.199622,4.9,59,
1447068922388954055,Recreio dos Bandeirantes,Casa/Apto Inteiro,2,5.0,932.0,Médio,-23.0267,-43.49175,,0,f
1361728846412032602,Leblon,Casa/Apto Inteiro,4,1.0,358.0,Médio-Baixo,-22.984238729410663,-43.21667014933124,4.95,20,t
19272350,Jacarepaguá,Casa/Apto Inteiro,5,2.0,1002.0,Médio,-22.96915,-43.39636,,0,f
595438638069068260,Centro,Casa/Apto Inteiro,4,1.0,250.0,Baixo,-22.912706,-43.17765,4.93,55,f
985529939492500995,Leblon,Casa/Apto Inteiro,3,1.0,671.0,Médio,-22.986949582622675,-43.228004451378574,4.57,7,f
1150779601864528041,Copacabana,Casa/Apto Inteiro,2,1.0,385.0,Médio-Baixo,-22.96459,-43.1764,4.85,13,f
954934123040371255,Leme,Casa/Apto Inteiro,7,3.0,510.0,Médio-Baixo,-22.9625398,-43.1685096,4.79,38,t
1237296657579110905,Cosme Velho,Quarto Privado,2,1.0,144.0,Baixo,-22.94155909860268,-43.19745271899587,,0,f
542686413295234941,Copacabana,Casa/Apto Inteiro,4,1.0,454.0,Médio-Baixo,-22.9781096,-43.1893096,4.93,191,t
1329279120591784043,Vila Valqueire,Casa/Apto Inteiro,16,4.0,1021.0,Médio,-22.89452562631124,-43.3660081346903,5.0,2,
1299950805183465510,Copacabana,Casa/Apto Inteiro,2,1.0,169.0,Baixo,-22.98127451218492,-43.19514960050583,4.92,12,t
1242259157617445686,Copacabana,Quarto Privado,2,1.0,167.0,Baixo,-22.98520178490789,-43.19155108830532,5.0,14,t
4511149,Copacabana,Casa/Apto Inteiro,8,3.0,656.0,Médio,-22.97825,-43.19067,4.7,10,f
2701966,Copacabana,Casa/Apto Inteiro,6,3.0,2000.0,Alto,-22.97567,-43.18925,,0,f
2007641,Santa Teresa,Casa/Apto Inteiro,2,1.0,89.0,Muito Baixo,-22.91814,-43.18511,4.82,11,f
1219674298248430668,Leblon,Casa/Apto Inteiro,4,2.0,650.0,Médio,-22.983239533039725,-43.22153451534424,5.0,21,f
658594284819371994,Ipanema,Casa/Apto Inteiro,2,1.0,413.0,Médio-Baixo,-22.9856706,-43.2111621,4.86,64,t
974837939009680348,Copacabana,Quarto Privado,2,1.0,135.0,Muito Baixo,-22.97191190986291,-43.188535754581466,4.78,9,f
1242858745795838842,Recreio dos Bandeirantes,Quarto Privado,1,1.0,188.0,Baixo,-23.027257414798303,-43.48752058708387,,0,f
1250170580346442993,Estácio,Quarto Privado,2,1.0,625.0,Médio,-22.9143338,-43.1993813,,0,f
53145194,Copacabana,Casa/Apto Inteiro,2,1.0,200.0,Baixo,-22.98011,-43.18991,4.61,119,f
